用例编号,模块,测试场景,前置条件,测试数据,操作步骤,预期结果,优先级,用例类型,覆盖点,实际结果,是否通过,缺陷ID,备注
REG-008,投标报名与审核,待审核取消报名确认,项目处于待审核,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,取消报名并确认,取消成功并终止后续流程,P0,正向,取消分支,,,,
REG-009,投标报名与审核,待审核取消报名返回,项目处于待审核,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,取消弹窗点击返回,状态保持不变,P2,异常,弹窗分支,,,,
REG-010,投标报名与审核,待缴费进入缴费页,项目处于待缴费,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,点击立即缴费,进入分项缴费页面,P0,正向,缴费入口,,,,
REG-011,投标报名与审核,仅缴纳文件费,待缴费状态,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,只支付文件费,不可下载招标文件,P0,边界,分项完整性,,,,
REG-012,投标报名与审核,仅缴纳平台使用费,待缴费状态,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,只支付平台使用费,不可下载招标文件,P0,边界,分项完整性,,,,
REG-013,投标报名与审核,两项费用全部缴纳,待缴费状态,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,完成两项支付,显示已缴费并可下载文件,P0,正向,缴费完成,,,,
REG-014,投标报名与审核,微信支付失败,可调起微信支付,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,支付取消或失败,状态保持待缴费,P1,异常,支付失败分支,,,,
REG-015,投标报名与审核,支付回调幂等,支付成功且可能重复回调,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,模拟重复回调,仅记一次有效支付,P1,异常,幂等性,,,,
REG-016,投标报名与审核,下载招标文件成功,已完成全部缴费,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,点击下载招标文件,成功查看或下载,P0,正向,文件获取,,,,
REG-017,投标报名与审核,未缴费下载拦截,待缴费状态,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,点击下载招标文件,提示需先缴费,P0,异常,门禁校验,,,,
REG-018,投标报名与审核,项目经理审核通过,有待审核报名,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,报名审核点击通过,状态变待缴费,P0,正向,审核通过,,,,
REG-019,投标报名与审核,项目经理审核驳回,有待审核报名,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,报名审核点击驳回,状态变已驳回,P0,正向,审核驳回,,,,
REG-020,投标报名与审核,已驳回不可递交投标文件,报名已驳回,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,进入项目管理尝试递交,系统禁止递交,P0,异常,门禁校验,,,,
REG-021,投标报名与审核,取消报名不可递交投标文件,报名已取消,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,进入项目管理尝试递交,系统禁止递交,P0,异常,门禁校验,,,,
REG-022,投标报名与审核,退款后不可递交投标文件,报名缴费后退款成功,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,尝试递交投标文件,提示无效投标人,P0,异常,退款分支,,,,
REG-023,投标报名与审核,审核列表状态分组完整,存在多状态记录,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,切换各状态页签,各组数据准确无串组,P1,正向,状态分支全覆盖,,,,
REG-024,投标报名与审核,审核详情信息完整,存在待审核记录,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,进入审核详情,字段和附件展示完整,P2,正向,详情展示,,,,
BID-001,投标人项目管理,报名成功进入投标中,报名成功,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,进入我的项目管理,项目在投标中分组展示,P0,正向,状态同步,,,,
BID-002,投标人项目管理,项目关键字检索,存在多个项目,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,输入关键字查询,返回匹配项目,P2,正向,检索能力,,,,
BID-003,投标人项目管理,待递交文件提交成功,投标中且可递交,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,上传并点击递交,标签变已递交,P0,正向,递交流程,,,,
BID-004,投标人项目管理,递交缺少附件,递交页可用,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,不上传附件直接提交,提示附件必传,P1,边界,必填校验,,,,
BID-005,投标人项目管理,截止后禁止递交,已过递交截止时间,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,尝试递交,被拦截并提示截止,P0,异常,时间门禁,,,,
BID-006,投标人项目管理,已递交撤回成功,已递交且未到截止,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,点击撤回并确认,标签变已撤回,P0,正向,撤回分支,,,,
BID-007,投标人项目管理,撤回后再次递交,状态已撤回且可递交,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,再次上传并递交,状态回到已递交,P0,正向,重复递交,,,,
BID-008,投标人项目管理,递交撤回留痕,执行过递交和撤回,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,查看项目记录,时间记录完整,P1,正向,审计记录,,,,
BID-009,投标人项目管理,到点自动已开标,项目临近开标,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,到开标时间刷新状态,自动转为已开标,P0,正向,自动迁移,,,,
BID-010,投标人项目管理,签字解密成功,已开标且待解密,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,输入正确解密密码,解密成功可供专家下载,P0,正向,解密主流程,,,,
BID-011,投标人项目管理,签字解密密码错误,已开标且待解密,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,输入错误密码,解密失败并提示错误,P0,异常,解密异常,,,,
BID-012,投标人项目管理,评审中详情只读,项目处于评审中,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,进入详情尝试操作,仅可查看不可编辑,P1,正向,状态权限,,,,
BID-013,投标人项目管理,谈判磋商回复成功,组长已发起谈判磋商,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,输入回复并提交,回复成功专家可查看,P0,正向,谈判分支,,,,
BID-014,投标人项目管理,谈判磋商回复含附件,处于回复阶段,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,上传附件并提交回复,文本与附件均保存,P1,正向,附件分支,,,,
BID-015,投标人项目管理,未到阶段不可回复,尚未收到谈判任务,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,尝试进入回复入口,入口不可用或提示等待,P1,异常,阶段门禁,,,,
BID-016,投标人项目管理,查看二轮报价要求,组长已发起二轮报价,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,查看二轮报价信息,展示组长要求内容,P1,正向,信息同步,,,,
BID-017,投标人项目管理,二轮报价提交成功,二轮报价阶段开放,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,输入报价上传附件后提交,报价记录生成,P0,正向,二轮报价主流程,,,,
BID-018,投标人项目管理,二轮报价金额非法,二轮报价页可用,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,输入负数或非数字提交,提示金额非法,P1,边界,金额校验,,,,
BID-019,投标人项目管理,已中标缴纳代理费成功,项目已中标且已推送代理费,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,填写支付信息上传截图并确认,代理费支付记录成功,P0,正向,中标后流程,,,,
BID-020,投标人项目管理,废标状态展示正确,项目被废标,投标人:<投标人账号>;投标文件:<投标文件名>;解密密码:<解密密码>;二轮报价:<二轮报价金额>,进入项目管理查看,废标分组展示且不可继续投标,P1,正向,终态分支,,,,
PM-001,项目经理项目管理,四状态分组展示,存在四种状态项目,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,进入项目管理并切换状态,分组展示准确,P0,正向,状态总览,,,,
PM-002,项目经理项目管理,投标中编辑评审表格,项目处于投标中,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击编辑评审表格并保存,保存成功且影响后续评审,P0,正向,投标中操作A,,,,
PM-003,项目经理项目管理,投标中发布变更成功,项目处于投标中且未开标,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,修改信息并发布变更,变更成功按新时间生效,P0,正向,投标中操作B,,,,
PM-004,项目经理项目管理,已开标禁止改时间,项目已到开标时间,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,尝试发布变更修改时间,系统拒绝并提示,P0,异常,状态门禁,,,,
PM-005,项目经理项目管理,邀请专家成功,专家库可用,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,抽取评标专家选择邀请专家,邀请发送成功,P0,正向,抽取专家分支A,,,,
PM-006,项目经理项目管理,随机抽取专家成功,筛选后人数充足,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",设置人数并随机抽取,抽取成功生成名单,P0,正向,抽取专家分支B,,,,
PM-007,项目经理项目管理,随机抽取人数不足,筛选后人数不足,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,设置大于可用人数抽取,提示人数不足,P1,异常,抽取异常,,,,
PM-008,项目经理项目管理,专业5级筛选有效,专家专业库完备,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,按5级专业筛选后抽取,仅抽中匹配专业专家,P1,正向,专业边界,,,,
PM-009,项目经理项目管理,已开标查看进度,项目状态已开标,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击查看进度,展示完整流程及完成节点,P1,正向,已开标操作A,,,,
PM-010,项目经理项目管理,查看形式资格响应性明细,对应阶段完成,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击查看明细,明细数据完整,P1,正向,已开标操作B,,,,
PM-011,项目经理项目管理,查看商务评分明细,商务评分已完成,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击查看,评分汇总明细可查,P1,正向,已开标操作C,,,,
PM-012,项目经理项目管理,查看技术评分专家明细,技术评分已完成,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",切换汇总与专家明细,切换正确且数据一致,P1,正向,已开标操作D,,,,
PM-013,项目经理项目管理,查看谈判及二轮报价信息,项目走谈判二轮流程,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击查看对应阶段信息,发起与回复信息完整,P1,正向,已开标操作E,,,,
PM-014,项目经理项目管理,查看报价评分明细,报价评分已完成,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击查看报价评分,展示评分结果与依据,P1,正向,已开标操作F,,,,
PM-015,项目经理项目管理,查看最终得分与候选人,评审已完成,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,进入最终得分及候选人,排名和候选人正确,P0,正向,已开标操作G,,,,
PM-016,项目经理项目管理,评标报告自动生成可编辑,评审完成,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,进入报告页编辑并保存,报告保存成功,P0,正向,报告流程A,,,,
PM-017,项目经理项目管理,报告推送后不可编辑,报告已推送专家,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,再次尝试编辑,编辑按钮置灰,P0,异常,报告流程B,,,,
PM-018,项目经理项目管理,报告退回后可重编辑,报告被专家退回,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,进入报告页,编辑能力恢复,P1,正向,报告流程C,,,,
PM-019,项目经理项目管理,发布中标公示成功,已产生候选人,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,填写信息并确认发布,中标公告发布成功,P0,正向,中标公示,,,,
PM-020,项目经理项目管理,代理费标准计费推送,中标公示已发布,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,选择标准计费填折扣推送,中标单位收到通知,P0,正向,代理费分支A,,,,
PM-021,项目经理项目管理,代理费固定收费推送,中标公示已发布,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,选择固定收费填金额推送,通知下发成功,P0,正向,代理费分支B,,,,
PM-022,项目经理项目管理,已推送代理费修改重推,已推送过代理费,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击修改后重推,新费用通知生效,P1,正向,代理费修改,,,,
PM-023,项目经理项目管理,开标表格一键导出PDF,评标完成,项目经理:<项目经理账号>;专家数:<抽取专家人数>;代理费模式:标准计费;折扣:<代理费折扣比例>,点击导出开标表格,成功下载PDF,P0,正向,导出能力,,,,
REV-001,专家评审管理,待确认同意邀请,专家收到邀请,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,待确认点击同意,项目进入专家待办流程,P0,正向,确认分支A,,,,
REV-002,专家评审管理,待确认拒绝邀请,专家收到邀请,项目经理:<项目经理账号>;被邀人:<被邀人姓名>;手机号:<被邀人手机号>;公司:<公司名称>,待确认点击拒绝,项目不进入其评审任务,P1,正向,确认分支B,,,,
REV-003,专家评审管理,未开标列表展示,已同意邀请且未到开标,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",进入未开标列表,显示对应项目,P1,正向,状态展示,,,,
REV-004,专家评审管理,到点转评审中,项目到开标时间,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",刷新首页状态,项目转评审中,P0,正向,状态迁移,,,,
REV-005,专家评审管理,开始签到完成,评审中且待签到,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",开始签到阅读承诺后完成,签到成功,P0,正向,签到流程,,,,
REV-006,专家评审管理,未签到禁止后续评审,评审中未签到,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",尝试进入评审下一步,被拦截提示先签到,P1,异常,阶段门禁,,,,
REV-007,专家评审管理,资料下载成功,专家已签到,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",文件下载-资料下载,可下载招投标文件,P0,正向,资料下载,,,,
REV-008,专家评审管理,组长推选成功,全部专家已签到,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",选择组长并提交,产生组长且可下一步,P0,正向,组长推选,,,,
REV-009,专家评审管理,组长推选平票重投,存在平票场景,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",提交投票产生平票,提示平票并要求重投,P0,异常,平票分支,,,,
REV-010,专家评审管理,形式评审符合,完成组长推选,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",形式评审选择符合并下一步,进入资格评审,P1,正向,评审阶段A,,,,
REV-011,专家评审管理,资格评审不符合,进入资格评审,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",选择不符合并提交,结果被记录并影响候选,P1,正向,评审阶段B,,,,
REV-012,专家评审管理,响应性评审符合,进入响应性评审,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",选择符合并提交,可进入后续阶段,P1,正向,评审阶段C,,,,
REV-013,专家评审管理,三项评审意见不一致,多专家评审意见不同,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",最后一位点击下一步,提示需项目经理核对并阻塞,P0,异常,一致性门禁,,,,
REV-014,专家评审管理,组长发起谈判磋商成功,项目为谈判或磋商方式,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",组长填写内容并发起,投标人收到回复任务,P0,正向,谈判流程,,,,
REV-015,专家评审管理,组员发起前只读等待,处于谈判阶段未发起,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",组员进入页面,仅等待不可发起,P1,正向,角色权限,,,,
REV-016,专家评审管理,查看投标人回复状态,投标人有已回复和未回复,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",查看回复列表,状态显示等待回复或查看,P1,正向,回复状态分支,,,,
REV-017,专家评审管理,组长发起二轮报价成功,进入二轮报价阶段,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",组长发起二轮报价,投标人收到报价任务,P0,正向,二轮流程,,,,
REV-018,专家评审管理,查看二轮报价回复状态,部分投标人已报价,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",查看二轮列表,未提供和查看状态正确,P1,正向,二轮状态分支,,,,
REV-019,专家评审管理,商务评分仅组长可录入,进入商务评分阶段,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",组长和组员分别查看,组长可录入组员只读,P0,正向,角色权限,,,,
REV-020,专家评审管理,技术评分独立打分,进入技术评分阶段,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",多专家分别打分并提交,分值独立记录,P0,正向,评分机制,,,,
REV-021,专家评审管理,报价评分方法一二自动计算可改,项目配置公示计分,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",进入报价评分由组长调整后提交,组长可改组员只读,P0,正向,报价评分分支AB,,,,
REV-022,专家评审管理,报价评分方法三手工录入,项目配置手工计分,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",组长手工录分并提交,录分成功进入下一步,P0,正向,报价评分分支C,,,,
REV-023,专家评审管理,开标表格一键签名,评标报告状态已生成,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",查看开标表格并一键签名,全部文件签名成功,P0,正向,签章流程,,,,
REV-024,专家评审管理,评标报告签名退回分支,项目经理已推送报告,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",专家点击退回,报告退回项目经理待修改,P1,正向,退回分支,,,,
SYS-001,系统级状态流转,报名状态全链路A,项目配置需审核,状态流:待审核→待缴费→已完成;异常流:驳回/取消/退款,报名->待审核->通过->待缴费->已完成,状态链路完整正确,P0,正向,状态链路覆盖,,,,
SYS-002,系统级状态流转,报名状态全链路B驳回,项目配置需审核,状态流:待审核→待缴费→已完成;异常流:驳回/取消/退款,报名->待审核->驳回,被驳回后禁止递交,P0,正向,状态链路覆盖,,,,
SYS-003,系统级状态流转,报名状态全链路C取消,项目配置需审核,状态流:待审核→待缴费→已完成;异常流:驳回/取消/退款,报名->待审核->取消,取消后禁止递交,P0,正向,状态链路覆盖,,,,
SYS-004,系统级状态流转,报名状态全链路D退款,已完成缴费,状态流:待审核→待缴费→已完成;异常流:驳回/取消/退款,发起退款后尝试递交,系统判定无效投标人,P0,异常,状态链路覆盖,,,,
SYS-005,系统级状态流转,项目状态全链路,项目发布成功,状态流:待审核→待缴费→已完成;异常流:驳回/取消/退款,投标中->已开标->已中标或废标,项目状态迁移正确,P0,正向,状态链路覆盖,,,,
SYS-006,系统级状态流转,专家状态全链路,专家收到邀请,"专家账号:<专家账号A>;申请附件:<证件附件1>,<证件附件2>;签名:<专家签名文件名>",待确认->未开标->评审中->签章完成,专家任务闭环正确,P0,正向,状态链路覆盖,,,,
